Name;Speed;Control
Yinhe MC-1;8.5;7.5
Yinhe MC-2;8.2;9.3
Yinhe MC-2 PRO;9;9
Yinhe MC-3;8.3;7.9
Yinhe MC-4;8.7;8.8
Yinhe Mercury Y-11;9;7.6
Yinhe Mercury Y-12;-;-
Yinhe Mercury Y-13;8.5;9
Yinhe Mercury Y-14;8.6;8.5
Yinhe Mercury Y-15;9;8.9
Yinhe Mercury Y-16;9.4;9.4
Yinhe N-1;8.5;8.5
Yinhe N-10;7.4;8.4
Yinhe N-11;7.9;8.6
Yinhe N-2;9;9
Yinhe N-3;8.8;8.7
Yinhe N-4;8.7;9.4
Yinhe N-5;-;-
Yinhe N-6;8;7
Yinhe N-7;8;8
Yinhe N-8;8.1;8.3
Yinhe N-8 S;7.9;8.5
Yinhe N-9;9.1;9.1
Yinhe N10 S;8.3;8.8
Yinhe N11 S;8.2;9.4
Yinhe N1S;-;-
Yinhe N7-S;-;-
Yinhe N9S;8.7;9
Yinhe Nano 50;8;9
Yinhe Nano 51;-;-
Yinhe Nano 52;-;-
Yinhe Nano 70;8.5;8.7
Yinhe NE-50;-;-
Yinhe NE-70;-;-
Yinhe NR-50;9;8
Yinhe NR-70;9;9.8
Yinhe PRO 01;8.9;8.9
Yinhe PRO 03;9;9
Yinhe Pro 05;9;9.3
Yinhe Pro 06;8.5;7
Yinhe PRO 11S;8.9;9
Yinhe PRO 13S;9.2;9
Yinhe Pro 5W;9.3;9.2
Yinhe PRO 7W;8.9;8.4
Yinhe Pro Feeling;9.1;9.2
Yinhe Pro ZLC;-;-
Yinhe Purple Dragon PD-437;8.4;8.4
Yinhe Purple Dragon PD-537;9.1;8.9
Yinhe Qiu Yike Ebony;8.7;9.3
Yinhe Qiu Yike Palisander;8.8;8.8
Yinhe Qiu Yike Pro Limited Edition;9;9.3
Yinhe Qiu Yike Rosewood;8.7;8.7
Yinhe Qiu Yike Wenge;-;-
Yinhe Rose 5;-;-
Yinhe Speer;8;8
Yinhe T-1;9.3;8.4
Yinhe T-10;9.1;7.7
Yinhe T-10+;9.6;8.6
Yinhe T-10s;-;-
Yinhe T-11;9.5;8.7
Yinhe T-11+;9.3;8.8
Yinhe T-1S;9.8;7.6
Yinhe T-2;9.3;8.2
Yinhe T-2S;9.2;8
Yinhe T-3;9.5;8.8
Yinhe T-4;9.5;8.3
Yinhe T-4s;9.6;8.9
Yinhe T-5;-;-
Yinhe T-5s;9.5;9
Yinhe T-6;8.4;8.9
Yinhe T-7;8.3;8.8
Yinhe T-8;9.3;8.6
Yinhe T-8S;9.2;9
Yinhe T-9;9.3;8
Yinhe T-9 Pro;9.8;9.2
Yinhe T11s;9.5;8.8
Yinhe T3s;9.2;8.5
